Housecode,Street,Ward,District,Bedroom,Bathroom,Square (m2),Compass,Price (Bil. VND)
A0978090,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,1,59,Đông Nam,2.5
A09163205,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,1,59,Tây Bắc,2.35
A0970895,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,1,59,Tây Bắc,2.3
A09127492,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,3,2,81.7,NA,3.3
A09127257,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,2,69.3,NA,2.85
A09109117,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,2,67,NA,2.4
A0979824,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,2,70,Bắc,2.9
A0981717,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,1,59,Đông Nam,2.3
A09198542,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,1,59,NA,2.03
A09127259,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,2,69.4,NA,2.8
A0972878,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,3,2,69,Đông Nam,3
A0983640,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,3,2,81.7,Đông Nam,4.2
A09127232,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,1,1,46.5,NA,1.9
A0986967,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,2,67.8,Đông Nam,2.9
A0964982,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,2,69.2,NA,2.86
A0987888,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,1,59,Tây Nam,2.25
A0983346,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,1,59.1,Đông Bắc,2.5
A09143714,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,2,69,Tây Nam,2.8
A0984339,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,1,1,33.6,Đông Bắc,1.35
A09137297,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,2,69.2,Đông Bắc,2.7
A09186500,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,1,1,51,NA,2.14
A09127522,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,2,69.2,NA,2.75
A09142603,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,1,1,47,Đông Bắc,1.82
A09109587,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,2,69,NA,2.65
A01198772,Nguyễn Thị Minh Khai,Bến Nghé,Quận 1,2,2,104,NA,20
A02198771,Đường R2,An Khánh,Quận 2,2,2,70.57,NA,18
A02198764,Mai Chí Thọ,Thủ Thiêm,Quận 2,3,2,127,Đông Bắc,25
A02198770,Đường R2,An Khánh,Quận 2,2,2,83,Tây Nam,15
A09198720,Nguyễn Xiển,Long Bình,Quận 9,1,1,48.7,NA,3.5
A09198703,Nguyễn Xiển,Long Bình,Quận 9,1,1,48.7,NA,4.16
A09198744,Nguyễn Xiển,Long Bình,Quận 9,1,1,30.7,NA,2.7
A09198716,Nguyễn Xiển,Long Bình,Quận 9,1,1,49,NA,3.5
A09198715,Nguyễn Xiển,Long Bình,Quận 9,1,1,49,NA,3.25
A09198710,Nguyễn Xiển,Long Bình,Quận 9,1,1,48.7,NA,3.58
A09198708,Nguyễn Xiển,Long Bình,Quận 9,1,1,49,NA,3.5
A09198752,Nguyễn Xiển,Long Bình,Quận 9,1,1,28.6,NA,2.09
A09198740,Nguyễn Xiển,Long Bình,Quận 9,1,1,30.7,NA,2.6
A09198735,Nguyễn Xiển,Long Bình,Quận 9,1,1,28.6,NA,2.7
A09198717,Nguyễn Xiển,Long Bình,Quận 9,1,1,48.9,NA,3.34
A09198743,Nguyễn Xiển,Long Bình,Quận 9,1,1,28.6,NA,2.9
A09198696,Nguyễn Xiển,Long Bình,Quận 9,1,1,49,NA,4.3
A09198730,Nguyễn Xiển,Long Bình,Quận 9,1,1,49.1,NA,3.5
A09198753,Nguyễn Xiển,Long Bình,Quận 9,1,1,28.6,NA,2.08
A09198724,Nguyễn Xiển,Long Bình,Quận 9,1,1,48.7,NA,3.35
A09198728,Nguyễn Xiển,Long Bình,Quận 9,1,1,48.7,NA,3.3
A09198749,Nguyễn Xiển,Long Bình,Quận 9,1,1,28.6,NA,2.21
A09198737,Nguyễn Xiển,Long Bình,Quận 9,1,1,29.5,NA,2.95
A0992103,Nguyễn Xiển,Long Thạnh Mỹ,Quận 9,2,1,59,Tây Bắc,2.6
